,Databases,Points,Share
0,Oracle,1212.77,19.4
1,MySQL,879.66,14.1
2,Microsoft SQL Server,715.05,11.4
3,PostgreSQL,643.2,10.3
4,MongoDB ,368.01,5.9
5,Snowflake,198.65,3.2
6,Redis,142.33,2.3
7,Databricks,128.8,2.1
8,IBM Db2,122.37,2.0
9,Elasticsearch,116.67,1.9
10,Apache Cassandra,105.16,1.7
11,SQLite,104.56,1.7
12,MariaDB ,87.77,1.4
13,Microsoft Access,80.79,1.3
14,Amazon DynamoDB,75.91,1.2
15,Microsoft Azure SQL Database,75.49,1.2
16,Apache Hive,75.22,1.2
17,Splunk,73.87,1.2
18,Google BigQuery,63.2,1.0
19,Neo4j,52.51,0.8
20,Apache Solr,35.31,0.6
21,Teradata,33.12,0.5
22,FileMaker,32.83,0.5
23,SAP HANA,31.65,0.5
24,SAP Adaptive Server,27.15,0.4
25,Apache Spark (SQL),23.77,0.4
26,Microsoft Azure Cosmos DB,22.71,0.4
27,InfluxDB,21.91,0.4
28,PostGIS,21.04,0.3
29,ClickHouse,20.18,0.3
30,Apache HBase,20.17,0.3
31,OpenSearch,19.3,0.3
32,Firebird,17.42,0.3
33,Memcached,15.48,0.2
34,Firebase Realtime Database,15.27,0.2
35,Informix,14.91,0.2
36,Amazon Redshift,14.6,0.2
37,Microsoft Azure Synapse Analytics,13.8,0.2
38,Apache Impala,13.29,0.2
39,Couchbase,11.96,0.2
40,Apache Flink,11.65,0.2
41,Google Cloud Firestore,9.43,0.2
42,Vertica,9.34,0.1
43,DuckDB,8.94,0.1
44,Amazon Aurora,8.05,0.1
45,H2,7.52,0.1
46,Kdb,7.51,0.1
47,Prometheus,7.48,0.1
48,dBASE,7.35,0.1
49,etcd,7.35,0.1
50,Greenplum,7.13,0.1
51,Realm,6.88,0.1
52,Algolia,6.8,0.1
53,Pinecone,6.68,0.1
54,CouchDB,6.53,0.1
55,Trino,6.35,0.1
56,Netezza,6.28,0.1
57,Presto,6.22,0.1
58,Microsoft Azure AI Search,6.0,0.1
59,Sphinx,5.94,0.1
60,Hazelcast,5.29,0.1
61,Oracle Essbase,4.92,0.1
62,Graphite,4.91,0.1
63,TimescaleDB,4.59,0.1
64,CockroachDB,4.58,0.1
65,Milvus,4.53,0.1
66,Aerospike ,4.53,0.1
67,MarkLogic,4.14,0.1
68,ScyllaDB ,3.85,0.1
69,OpenEdge,3.78,0.1
70,Qdrant,3.74,0.1
71,Ingres,3.73,0.1
72,Apache Jackrabbit,3.65,0.1
73,Apache Druid,3.63,0.1
74,QuestDB,3.59,0.1
75,Interbase,3.58,0.1
76,Google Cloud Datastore,3.55,0.1
77,Datastax Enterprise,3.41,0.1
78,Oracle NoSQL,3.35,0.1
79,Riak KV,3.32,0.1
80,Weaviate,3.31,0.1
81,SAP SQL Anywhere,3.27,0.1
82,TiDB,3.19,0.1
83,Apache Derby,3.16,0.1
84,Microsoft Azure Data Explorer,3.13,0.1
85,SingleStore,3.05,0.0
86,Apache Ignite,2.99,0.0
87,Ehcache,2.99,0.0
88,ArangoDB,2.91,0.0
89,OceanBase,2.89,0.0
90,RocksDB,2.84,0.0
91,Google Cloud Spanner,2.8,0.0
92,Adabas,2.8,0.0
93,Microsoft Azure Table Storage,2.8,0.0
94,GemFire,2.79,0.0
95,HyperSQL,2.76,0.0
96,Virtuoso,2.74,0.0
97,IBM Cloudant,2.66,0.0
98,Google Cloud Bigtable,2.65,0.0
99,OrientDB,2.62,0.0
100,Coveo,2.55,0.0
101,Apache Jena - TDB,2.53,0.0
102,SAP IQ,2.5,0.0
103,RavenDB,2.49,0.0
104,NebulaGraph,2.45,0.0
105,Chroma,2.42,0.0
106,RethinkDB,2.35,0.0
107,Apache Accumulo,2.35,0.0
108,GraphDB,2.3,0.0
109,Amazon Neptune,2.26,0.0
110,Memgraph,2.26,0.0
111,InterSystems IRIS,2.2,0.0
112,Citus,2.19,0.0
113,"UniData,UniVerse",2.14,0.0
114,Apache Phoenix,2.13,0.0
115,YugabyteDB,2.13,0.0
116,Percona Server for MySQL,2.07,0.0
117,DolphinDB,2.06,0.0
118,4D,2.03,0.0
119,GridDB ,2.01,0.0
120,LevelDB,2.0,0.0
121,LMDB,1.95,0.0
122,Infinispan,1.94,0.0
123,Alibaba Cloud PolarDB,1.93,0.0
124,Amazon DocumentDB,1.91,0.0
125,PouchDB,1.9,0.0
126,CloudKit,1.88,0.0
127,Amazon CloudSearch,1.87,0.0
128,MaxDB,1.86,0.0
129,JanusGraph,1.81,0.0
130,Valkey,1.8,0.0
131,Apache Drill,1.79,0.0
132,TigerGraph,1.77,0.0
133,EDB Postgres,1.75,0.0
